State_Name,Year,Position,Candidate,Sex,Party,Candidate_Type,Constituency_Name,Constituency_Type,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Last_Party
Karnataka,2009,1,GADDIGOUDAR P.C.,M,BJP,GEN,BAGALKOT,GEN,17,63.07,48.06,BJP
Karnataka,2009,1,RAMESH CHANDAPPA JIGAJINAGI,M,BJP,SC,BIJAPUR,SC,10,47.29,47.56,BJP
Karnataka,2009,1,MALLIKARJUN KHARGE,M,INC,SC,GULBARGA,SC,10,49.19,45.46,
Karnataka,2009,1,PAKKIRAPPA.S.,M,BJP,ST,RAICHUR,ST,8,45.9,46.38,
Karnataka,2009,1,N.DHARAM SINGH,M,INC,GEN,BIDAR,GEN,27,52.99,43.37,INC(I)
Karnataka,2009,1,SHIVARAMAGOUDA SHIVANAGOUDA,M,BJP,GEN,KOPPAL,GEN,18,55.35,38.65,
Karnataka,2009,1,J. SHANTHA,F,BJP,ST,BELLARY,ST,7,61.44,46.72,
Karnataka,2009,1,UDASI SHIVKUMAR CHANABASAPPA,M,BJP,GEN,HAVERI,GEN,12,63.59,49.33,
Karnataka,2009,1,PRALHAD JOSHI,M,BJP,GEN,DHARWAD,GEN,16,56.55,55.97,BJP
Karnataka,2009,1,ANANTKUMAR HEGDE,M,BJP,GEN,UTTARA KANNADA,GEN,11,59.09,44.63,BJP
Karnataka,2009,1,G.M. SIDDESWARA,M,BJP,GEN,DAVANAGERE,GEN,28,67.46,46.67,BJP
Karnataka,2009,1,B.Y. RAGHAVENDRA,M,BJP,GEN,SHIMOGA,GEN,12,66.47,50.58,
Karnataka,2009,1,D.V.SADANANDA GOWDA,M,BJP,GEN,UDUPI CHIKMAGALUR,GEN,9,68.18,48.09,BJP
Karnataka,2009,1,H. D. DEVEGOWDA,M,JD(S),GEN,HASSAN,GEN,13,69.17,50.64,JD(S)
Karnataka,2009,1,NALIN KUMAR KATEEL,M,BJP,GEN,DAKSHINA KANNADA,GEN,11,74.45,49.16,
Karnataka,2009,1,JANARDHANA SWAMY,M,BJP,SC,CHITRADURGA,SC,11,54.49,44.37,IND
Karnataka,2009,1,G.S. BASAVARAJ,M,BJP,GEN,TUMKUR,GEN,10,64.79,36.79,INC
Karnataka,2009,1,N CHELUVARAYA SWAMY @ SWAMYGOWDA,M,JD(S),GEN,MANDYA,GEN,12,68.79,37.26,
Karnataka,2009,1,ADAGUR H VISHWANATH,M,INC,GEN,MYSORE,GEN,12,58.88,36.43,
Karnataka,2009,1,R.DHRUVANARAYANA,M,INC,SC,CHAMARAJANAGAR,SC,14,67.91,38.0,
Karnataka,2009,1,H.D.KUMARASWAMY,M,JD(S),GEN,BANGALORE RURAL,GEN,15,57.92,44.73,JD(S)
